21	18
20	17
20	18
21	17
10	1
42	6
83	75
42	10
55	26
82	53
6	1
1	3
19	73
55	53
65	52
9	19
18	13
53	73
6	38
55	13
80	40
80	55
10	38
9	55
55	28
55	20
65	51
20	13
33	55
42	64
57	47
72	19
13	28
64	59
1	64
30	53
28	20
48	55
53	18
26	20
17	28
53	14
53	37
64	75
37	19
48	20
17	73
80	34
53	19
65	73
33	27
17	13
1	29
70	53
59	26
53	76
55	43
18	28
64	3
9	79
33	5
53	47
53	31
83	1
18	17
18	73
37	17
53	5
33	53
45	44
73	5
33	17
33	28
48	28
48	17
17	43
40	59
1	62
17	5
18	5
34	26
28	26
65	55
64	17
25	55
81	53
55	21
47	17
55	73
44	19
6	73
64	38
53	17
73	14
8	14
28	47
33	26
59	43
9	43
6	65
20	5
33	18
43	20
55	5
55	18
13	26
10	3
49	35
37	73
40	28
1	43
65	47
1	73
48	13
48	43
64	20
73	20
40	13
18	43
46	26
77	73
17	26
48	26
43	28
27	13
47	18
34	28
37	5
37	18
21	13
78	55
23	71
8	79
65	28
48	47
65	19
28	5
78	44
53	75
55	15
40	31
59	28
19	14
37	13
48	33
23	29
46	13
34	13
40	26
73	28
59	53
8	5
64	18
53	8
55	17
72	23
53	36
64	47
65	33
71	75
59	17
64	55
64	5
23	75
65	43
33	14
30	18
72	81
78	26
46	28
53	79
21	5
53	43
55	47
55	37
47	20
8	43
32	71
80	27
40	43
4	26
31	13
40	34
79	14
30	26
13	73
53	20
65	53
80	31
35	53
9	31
19	26
55	79
48	73
70	65
34	20
47	13
40	9
12	26
21	28
65	64
47	37
60	61
36	19
12	13
31	73
9	28
56	35
8	26
47	5
48	18
37	14
40	73
34	15
43	26
13	8
33	73
80	28
48	15
49	48
47	8
6	47
65	18
33	46
9	26
37	28
53	28
27	28
48	75
30	19
12	55
50	35
9	18
80	59
6	9
55	14
55	76
35	43
10	2
78	17
30	28
40	15
40	55
77	13
20	19
48	53
74	8
49	47
13	43
4	28
48	19
65	5
55	8
23	53
33	9
48	5
18	26
48	34
15	5
48	46
40	53
78	45
26	47
58	26
64	28
49	57
15	28
9	47
43	5
27	73
30	73
59	47
35	73
17	15
37	26
6	53
40	39
13	14
48	27
48	59
27	20
73	47
57	5
75	26
35	26
30	37
6	26
6	17
59	5
30	20
30	76
7	43
30	5
26	5
37	20
59	20
46	73
73	43
3	43
48	35
30	27
18	15
59	55
19	13
48	64
27	43
32	74
18	14
12	73
30	43
72	8
33	75
76	75
13	75
12	5
30	17
72	73
27	17
72	5
6	3
19	7
64	37
52	51
6	28
76	20
30	14
10	6
9	17
47	7
6	48
43	47
63	47
65	31
35	55
72	70
6	13
6	55
74	31
15	26
33	47
17	76
30	55
68	54
30	47
18	76
12	53
71	76
64	26
55	36
64	43
45	26
55	39
46	18
40	47
65	26
78	47
9	64
15	13
33	30
31	14
64	13
70	54
78	37
47	27
33	19
56	71
78	28
65	76
40	20
37	75
79	28
82	72
43	14
78	43
6	79
49	5
34	39
20	15
30	13
78	18
40	27
48	78
34	27
78	20
17	75
73	26
75	43
6	5
33	37
75	5
28	14
58	53
76	73
48	45
65	8
78	31
17	79
9	76
59	15
64	53
27	26
46	15
13	5
30	7
10	73
45	28
58	31
17	14
46	17
64	27
80	20
13	76
34	18
40	18
37	43
46	20
64	15
6	18
65	13
27	15
40	5
58	39
46	43
59	19
57	13
34	59
9	5
16	26
21	20
36	18
25	10
48	21
55	31
32	75
35	19
68	69
33	20
37	36
35	46
48	37
34	73
20	14
35	17
49	73
15	43
35	28
56	32
59	18
29	3
6	33
19	18
36	20
64	46
71	55
75	73
27	18
12	28
53	21
33	44
49	28
36	28
27	21
57	53
53	27
6	78
18	79
33	13
55	27
9	27
32	53
58	13
36	17
65	17
32	43
9	73
76	47
34	17
65	30
44	73
9	20
19	75
14	5
6	43
56	57
72	79
10	65
12	78
75	20
36	8
35	27
33	64
77	5
1	35
59	8
79	43
78	5
15	73
64	19
53	69
78	53
63	5
45	19
65	20
65	46
56	26
72	42
78	27
19	5
75	28
83	3
78	19
59	37
10	47
30	36
65	40
35	64
58	8
56	47
9	13
77	20
21	14
37	27
81	56
81	75
39	28
78	59
9	37
78	46
18	75
53	44
10	76
53	26
7	76
49	26
76	5
37	21
39	17
12	43
59	27
37	15
32	58
72	76
64	21
55	45
70	73
76	14
12	45
33	36
59	73
35	33
78	75
72	54
19	76
19	28
35	18
47	16
50	53
33	15
81	71
33	32
31	20
21	73
6	20
54	47
59	13
8	75
64	7
2	29
34	55
4	27
60	6
36	43
35	13
56	53
48	9
19	43
63	53
78	73
54	26
57	31
31	5
75	47
23	55
47	46
10	43
65	58
66	53
47	15
35	37
48	76
8	73
33	12
45	17
23	74
12	47
34	14
56	75
36	13
30	31
61	5
47	21
4	13
9	69
57	43
6	2
27	5
58	43
9	75
19	15
34	31
30	75
56	12
77	26
50	5
64	41
56	43
79	20
65	75
12	20
82	73
13	7
57	28
76	28
35	20
31	43
57	73
57	37
45	43
34	64
32	19
55	7
21	26
54	5
19	17
64	76
50	28
4	15
64	54
33	43
18	41
33	71
65	34
31	79
59	76
80	13
35	75
4	64
10	5
80	39
35	59
72	53
23	8
30	62
71	53
72	55
78	58
46	76
49	33
47	36
60	25
72	30
40	46
83	43
7	73
65	79
45	15
79	5
49	64
60	73
10	49
82	33
39	20
59	21
33	76
33	7
57	55
48	36
36	73
12	18
60	13
30	9
65	49
40	17
58	37
17	7
53	46
32	18
34	43
47	31
9	59
61	53
34	21
7	75
8	7
34	76
57	18
36	75
65	14
81	74
68	23
33	45
12	64
56	23
39	18
31	18
55	46
69	43
30	8
81	33
47	45
57	17
34	53
63	13
56	58
60	50
12	27
36	5
10	8
56	33
40	35
19	79
49	13
34	9
9	45
23	73
47	38
18	7
48	30
71	8
77	18
12	76
65	27
57	79
23	76
50	26
57	26
27	8
21	43
71	19
81	76
49	20
49	9
30	59
7	28
60	53
68	73
30	46
32	37
49	38
57	19
81	12
45	20
13	79
68	47
60	33
63	51
36	26
61	47
48	79
4	73
35	45
67	28
63	26
65	36
70	37
34	5
12	46
82	56
75	14
29	43
12	57
78	76
33	57
81	30
30	15
80	65
32	8
65	35
37	76
78	15
23	47
1	7
58	20
35	5
56	28
56	30
46	79
32	31
8	76
79	47
40	45
14	47
65	7
40	64
60	21
81	47
59	46
81	49
58	17
27	76
27	79
29	75
12	17
72	75
48	4
57	8
40	76
6	64
7	69
12	71
82	65
39	79
15	75
57	27
12	74
9	21
10	79
34	45
40	44
56	55
80	21
4	5
81	32
22	31
25	6
9	78
29	8
54	73
40	33
71	29
82	37
48	40
32	73
64	73
49	43
65	37
77	47
30	45
78	61
48	58
57	20
68	9
65	21
2	73
72	35
7	5
1	45
7	26
57	76
37	8
43	41
49	18
9	46
78	8
35	9
81	29
58	47
31	15
77	55
2	62
65	45
68	57
69	47
72	47
56	19
12	19
22	8
53	13
80	18
10	17
65	56
40	4
64	14
76	26
50	13
32	20
49	16
78	21
81	73
58	73
65	29
55	75
74	71
55	19
21	15
81	37
30	79
56	9
73	41
40	78
27	14
48	61
45	8
6	46
58	18
34	8
49	12
45	13
45	5
10	53
16	69
30	23
29	73
46	14
8	28
42	46
55	29
20	8
47	19
48	63
23	26
56	74
32	26
80	15
58	36
61	19
10	78
56	76
21	79
12	29
45	31
65	15
39	26
22	43
80	5
60	26
48	54
40	54
81	43
48	71
68	32
12	75
61	8
12	62
1	75
21	76
12	7
78	36
6	49
58	46
35	47
9	8
66	14
49	17
72	56
65	41
64	57
78	64
18	8
33	8
70	33
4	46
6	7
10	75
52	69
50	19
49	8
64	29
55	54
80	26
7	3
33	31
63	57
32	47
71	18
54	28
58	41
31	75
74	46
9	57
59	51
12	41
10	81
55	41
65	62
78	63
32	44
81	65
35	78
64	58
45	27
11	38
56	44
40	79
30	21
33	21
23	78
37	31
29	5
39	37
4	59
65	59
42	33
60	16
65	16
56	29
35	8
32	17
54	43
79	26
13	69
66	5
32	36
32	23
51	47
66	26
64	45
58	27
46	5
6	80
70	66
36	14
49	55
17	41
46	37
33	74
62	41
77	17
37	79
10	30
72	64
66	28
72	32
39	5
72	43
9	63
81	13
